epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.997,2.21804,3.13207,1.83436,0.12055,0.05352,0.03646,0.01567,2.484,4.57704,2.05182,0.000660767,0.000660767,0.000660767
2,227.584,2.17519,2.91841,1.77727,0.10713,0.08104,0.04517,0.02043,2.51836,4.3314,1.90061,0.00132086,0.00132086,0.00132086
3,340.063,2.22573,2.90819,1.77303,0.10049,0.09021,0.04107,0.01546,2.57743,5.20973,2.02921,0.00197436,0.00197436,0.00197436
4,450.813,2.21686,2.89972,1.81004,0.0391,0.07645,0.02516,0.01135,2.48936,7.36917,2.08445,0.0019703,0.0019703,0.0019703
5,560.787,2.13763,2.8054,1.73916,0.13446,0.09786,0.05267,0.02302,2.36901,4.00948,1.82324,0.0019604,0.0019604,0.0019604
6,670.879,2.14085,2.78323,1.74932,0.12017,0.08716,0.05205,0.02417,2.45581,4.20066,1.93822,0.0019505,0.0019505,0.0019505
7,782.36,2.08844,2.71137,1.70207,0.27294,0.07951,0.07965,0.03337,2.43098,3.77594,1.91952,0.0019406,0.0019406,0.0019406
8,894.556,2.08717,2.77975,1.67196,0.15981,0.09633,0.06384,0.02768,2.3885,3.95927,1.81823,0.0019307,0.0019307,0.0019307
9,1006.31,2.01898,2.69346,1.66878,0.18843,0.14526,0.07361,0.03133,2.32775,3.85472,1.88069,0.0019208,0.0019208,0.0019208
10,1117.72,2.02849,2.66594,1.67274,0.24957,0.08869,0.07755,0.03456,2.18037,3.54534,1.71809,0.0019109,0.0019109,0.0019109
11,1228.88,1.9479,2.63453,1.66473,0.22348,0.08563,0.07569,0.03622,2.20658,3.13417,1.80223,0.001901,0.001901,0.001901
12,1342,2.01474,2.62817,1.63592,0.27614,0.16361,0.12023,0.04448,2.3577,3.49441,1.7922,0.0018911,0.0018911,0.0018911
13,1453.13,1.91467,2.58412,1.60517,0.17891,0.12385,0.07233,0.02959,2.25423,3.91287,1.69783,0.0018812,0.0018812,0.0018812
14,1564.93,1.93607,2.57906,1.61787,0.1849,0.11468,0.08035,0.03066,2.43945,3.4921,1.88245,0.0018713,0.0018713,0.0018713
15,1676.22,1.94253,2.53742,1.60853,0.33349,0.15138,0.12335,0.05266,2.15776,3.45852,1.67609,0.0018614,0.0018614,0.0018614
16,1787.86,1.94048,2.54148,1.6059,0.33084,0.19725,0.1426,0.05845,2.08516,3.25452,1.6575,0.0018515,0.0018515,0.0018515
17,1899.25,1.95279,2.50971,1.5989,0.24425,0.13303,0.09193,0.0371,2.17632,4.0121,1.6657,0.0018416,0.0018416,0.0018416
18,2010.4,1.92118,2.51187,1.57874,0.26733,0.07476,0.07256,0.03417,2.1726,3.39968,1.71904,0.0018317,0.0018317,0.0018317
19,2121.54,1.85946,2.48544,1.56323,0.30552,0.09939,0.11025,0.05391,2.0871,3.11596,1.63933,0.0018218,0.0018218,0.0018218
20,2232.87,1.89709,2.45545,1.58072,0.3229,0.17125,0.13262,0.05386,2.1884,3.25307,1.72419,0.0018119,0.0018119,0.0018119
21,2344.15,1.87242,2.47097,1.58977,0.24035,0.09633,0.07524,0.03778,2.08729,3.37129,1.67188,0.001802,0.001802,0.001802
22,2455.16,1.89662,2.44701,1.58161,0.25379,0.16745,0.12057,0.05412,2.12256,3.73585,1.70806,0.0017921,0.0017921,0.0017921
23,2566.75,1.86116,2.40977,1.56801,0.2475,0.09786,0.07325,0.0364,2.07912,3.3804,1.65738,0.0017822,0.0017822,0.0017822
24,2678.58,1.86945,2.4706,1.55156,0.37214,0.17854,0.15338,0.06855,2.14048,3.61571,1.72129,0.0017723,0.0017723,0.0017723
25,2790.92,1.87276,2.41528,1.53702,0.30305,0.14985,0.10484,0.04796,2.14623,3.45755,1.66589,0.0017624,0.0017624,0.0017624
26,2902.26,1.8607,2.3521,1.55269,0.36876,0.1456,0.12666,0.05275,2.16446,3.28216,1.76895,0.0017525,0.0017525,0.0017525
27,3014.53,1.8974,2.38859,1.53872,0.23212,0.09786,0.09052,0.04403,2.02024,3.52542,1.632,0.0017426,0.0017426,0.0017426
28,3126.24,1.85344,2.39497,1.56503,0.30976,0.20336,0.14457,0.06173,2.1135,3.21441,1.71678,0.0017327,0.0017327,0.0017327
29,3237.81,1.86431,2.3764,1.54876,0.34323,0.16514,0.1471,0.06587,2.10702,3.43247,1.66666,0.0017228,0.0017228,0.0017228
30,3348.49,1.81632,2.36939,1.54878,0.31623,0.17737,0.14215,0.06464,2.09136,3.27005,1.65185,0.0017129,0.0017129,0.0017129
31,3459.69,1.78945,2.31545,1.54046,0.41156,0.21101,0.19288,0.07705,2.01442,4.02612,1.64203,0.001703,0.001703,0.001703
32,3571.92,1.81022,2.31859,1.52552,0.3132,0.21101,0.15864,0.06532,2.19329,3.15891,1.78806,0.0016931,0.0016931,0.0016931
33,3683.05,1.83449,2.39561,1.56471,0.30942,0.18502,0.1403,0.0534,2.16451,3.07011,1.73836,0.0016832,0.0016832,0.0016832
34,3796.33,1.82376,2.30719,1.53844,0.29589,0.2156,0.16344,0.06738,2.2276,3.10788,1.81449,0.0016733,0.0016733,0.0016733
35,3909.25,1.80165,2.28781,1.53166,0.3061,0.19878,0.15953,0.07315,2.12595,2.94452,1.6916,0.0016634,0.0016634,0.0016634
36,4021.4,1.82299,2.29493,1.51164,0.32027,0.21407,0.17999,0.07766,2.10806,3.60549,1.64173,0.0016535,0.0016535,0.0016535
37,4132.54,1.80894,2.27983,1.53465,0.38886,0.19113,0.16529,0.07303,2.01662,3.23283,1.60416,0.0016436,0.0016436,0.0016436
38,4243.43,1.74959,2.28592,1.52279,0.30071,0.21254,0.14813,0.05659,2.23534,2.98768,1.76238,0.0016337,0.0016337,0.0016337
39,4356.04,1.84028,2.3036,1.53116,0.32883,0.1768,0.13955,0.0629,2.12109,3.35119,1.68515,0.0016238,0.0016238,0.0016238
40,4467.56,1.807,2.29349,1.52498,0.322,0.18349,0.15427,0.06955,1.9228,3.61537,1.60857,0.0016139,0.0016139,0.0016139
41,4578.33,1.7496,2.21131,1.50009,0.34957,0.22018,0.17485,0.07124,2.11938,3.17482,1.71312,0.001604,0.001604,0.001604
42,4689.46,1.78464,2.23275,1.51209,0.40045,0.21101,0.19861,0.07956,2.04416,3.21294,1.66855,0.0015941,0.0015941,0.0015941
43,4802.26,1.7877,2.22503,1.49903,0.43653,0.19419,0.18552,0.08146,2.17346,3.62686,1.72371,0.0015842,0.0015842,0.0015842
44,4915.18,1.76929,2.20478,1.4839,0.39251,0.1966,0.18794,0.08499,2.19967,3.0817,1.86419,0.0015743,0.0015743,0.0015743
45,5028,1.76086,2.18798,1.48238,0.36501,0.19878,0.18536,0.08308,2.18427,2.96886,1.82352,0.0015644,0.0015644,0.0015644
46,5140.5,1.71268,2.16594,1.48628,0.37549,0.19572,0.17865,0.07977,2.04939,3.02972,1.70123,0.0015545,0.0015545,0.0015545
47,5252.84,1.77024,2.18836,1.50027,0.36744,0.21713,0.19375,0.08619,2.06389,3.67628,1.65535,0.0015446,0.0015446,0.0015446
48,5366.34,1.74388,2.16741,1.44409,0.37177,0.2156,0.18999,0.08803,1.99262,3.04646,1.59247,0.0015347,0.0015347,0.0015347
49,5478.9,1.7484,2.1266,1.4723,0.42648,0.21149,0.21032,0.09334,2.11145,3.16573,1.64437,0.0015248,0.0015248,0.0015248
50,5591.92,1.75109,2.16387,1.48216,0.44036,0.18807,0.1989,0.08146,2.02495,3.15804,1.59506,0.0015149,0.0015149,0.0015149
