epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2822,2.31558,2.9782,2.06343,0.02824,0.13218,0.01102,0.00409,2.37502,10.9097,2.46864,0.000662005,0.000662005,0.000662005
2,31.6386,2.33243,2.94048,2.05548,0.0111,0.03448,0.00305,0.00119,3.62975,12.2775,7.63773,0.00131552,0.00131552,0.00131552
3,44.6954,2.31012,2.9766,2.05787,0.17032,0.12644,0.04951,0.01782,2.3225,nan,2.14735,0.00195583,0.00195583,0.00195583
4,57.6841,2.29519,2.92013,1.98666,0.12631,0.11494,0.06462,0.02594,2.36788,3.01557,2.11861,0.0019406,0.0019406,0.0019406
5,70.715,2.24076,2.87831,1.94739,0.0711,0.13218,0.02935,0.01095,2.45646,3.33011,2.19602,0.0019208,0.0019208,0.0019208
6,83.6723,2.19642,2.7592,1.90172,0.09554,0.08621,0.02359,0.01024,2.71605,4.51789,2.50699,0.001901,0.001901,0.001901
7,96.6468,2.12434,2.79777,1.88203,0.13536,0.0977,0.07528,0.02894,2.19404,2.96151,1.94555,0.0018812,0.0018812,0.0018812
8,109.683,2.12653,2.72773,1.89254,0.14269,0.16667,0.05941,0.02344,2.13147,2.85605,1.91939,0.0018614,0.0018614,0.0018614
9,122.757,2.09868,2.69007,1.86234,0.20308,0.11864,0.07666,0.02997,2.24052,2.82747,1.96509,0.0018416,0.0018416,0.0018416
10,135.758,2.06337,2.66186,1.8211,0.14621,0.08621,0.08193,0.03137,2.13172,2.73307,1.93256,0.0018218,0.0018218,0.0018218
11,148.833,2.07528,2.6432,1.8015,0.13887,0.15517,0.08268,0.03093,2.06558,2.79673,1.85782,0.001802,0.001802,0.001802
12,161.84,2.03071,2.62504,1.79224,0.16293,0.14368,0.08525,0.03102,2.10795,2.79563,1.87941,0.0017822,0.0017822,0.0017822
13,174.868,2.00025,2.58437,1.80193,0.19187,0.1092,0.07055,0.02484,2.0533,3.02494,1.921,0.0017624,0.0017624,0.0017624
14,187.776,1.99295,2.54339,1.77613,0.09953,0.0977,0.06005,0.0253,1.94824,2.94224,1.75036,0.0017426,0.0017426,0.0017426
15,200.677,1.97872,2.54407,1.76567,0.09477,0.13237,0.05433,0.0268,2.02618,2.80926,1.85723,0.0017228,0.0017228,0.0017228
16,213.537,1.98769,2.49812,1.76554,0.26182,0.12069,0.10701,0.04037,2.02975,2.64136,1.86005,0.001703,0.001703,0.001703
17,226.634,1.97598,2.49389,1.74055,0.18447,0.08046,0.07354,0.03199,2.06484,2.95476,1.87078,0.0016832,0.0016832,0.0016832
18,239.614,1.97029,2.4546,1.71957,0.14334,0.11059,0.08163,0.03742,1.93075,2.67541,1.74481,0.0016634,0.0016634,0.0016634
19,252.456,1.92999,2.45158,1.73325,0.08563,0.15517,0.07188,0.02703,1.98757,2.74154,1.83529,0.0016436,0.0016436,0.0016436
20,265.391,1.90999,2.42038,1.72682,0.14806,0.16667,0.08184,0.03569,2.03171,2.79441,1.87993,0.0016238,0.0016238,0.0016238
21,278.354,1.92493,2.44631,1.75643,0.12998,0.13218,0.06852,0.0301,1.88068,2.77623,1.77676,0.001604,0.001604,0.001604
22,291.555,1.88767,2.43079,1.72286,0.09244,0.1954,0.08717,0.03777,1.91582,2.74219,1.73968,0.0015842,0.0015842,0.0015842
23,304.28,1.8917,2.41539,1.69524,0.10608,0.12069,0.08043,0.03396,1.92229,2.69222,1.79384,0.0015644,0.0015644,0.0015644
24,317.205,1.88298,2.35509,1.69303,0.1426,0.09195,0.06554,0.03031,1.97067,3.48762,1.83019,0.0015446,0.0015446,0.0015446
25,329.944,1.86388,2.35136,1.6986,0.14057,0.16092,0.08646,0.04309,1.87221,2.63261,1.72973,0.0015248,0.0015248,0.0015248
26,342.855,1.8903,2.37131,1.70225,0.20421,0.15517,0.10282,0.04256,1.97362,2.54801,1.8449,0.001505,0.001505,0.001505
27,355.771,1.88662,2.35445,1.68324,0.11373,0.14455,0.0668,0.02911,1.90089,2.72173,1.75622,0.0014852,0.0014852,0.0014852
28,368.655,1.89169,2.30257,1.67656,0.21332,0.13793,0.09902,0.04455,1.95467,2.89447,1.82294,0.0014654,0.0014654,0.0014654
29,381.699,1.86794,2.30508,1.66328,0.02328,0.13793,0.01211,0.00556,1.94239,4.22482,1.77614,0.0014456,0.0014456,0.0014456
30,394.745,1.83823,2.33683,1.70004,0.20792,0.14943,0.094,0.04253,1.85302,2.4984,1.71434,0.0014258,0.0014258,0.0014258
31,407.515,1.88948,2.2798,1.66321,0.34176,0.11494,0.10446,0.0459,1.90977,2.59448,1.75948,0.001406,0.001406,0.001406
32,420.377,1.84757,2.3064,1.66583,0.31226,0.16667,0.13411,0.0591,1.81791,2.41972,1.71676,0.0013862,0.0013862,0.0013862
33,433.183,1.83808,2.2784,1.65412,0.07092,0.03448,0.02538,0.01373,1.9321,4.38048,1.77109,0.0013664,0.0013664,0.0013664
34,446.242,1.83106,2.27584,1.66106,0.16332,0.14368,0.07768,0.03734,1.86017,2.55066,1.71747,0.0013466,0.0013466,0.0013466
35,459.161,1.83814,2.25926,1.6588,0.2629,0.17241,0.1345,0.06003,1.86929,2.38218,1.71362,0.0013268,0.0013268,0.0013268
36,472.041,1.83618,2.24057,1.64352,0.24955,0.2069,0.12301,0.05522,1.85403,2.51904,1.71845,0.001307,0.001307,0.001307
37,485.004,1.81244,2.21352,1.64199,0.1643,0.17241,0.11527,0.05152,1.83043,2.53184,1.71539,0.0012872,0.0012872,0.0012872
38,498.03,1.8197,2.21575,1.64348,0.2169,0.16092,0.12959,0.0648,1.80976,2.39409,1.69836,0.0012674,0.0012674,0.0012674
39,511.119,1.82879,2.16747,1.62931,0.28228,0.1954,0.1599,0.06962,1.81508,2.33951,1.70727,0.0012476,0.0012476,0.0012476
40,524.107,1.76923,2.1874,1.64181,0.14596,0.08621,0.05608,0.02404,2.04221,3.96539,1.81805,0.0012278,0.0012278,0.0012278
41,537.055,1.77602,2.19459,1.63058,0.17529,0.18966,0.10838,0.04927,1.83716,2.71546,1.74084,0.001208,0.001208,0.001208
42,549.952,1.80782,2.17688,1.63947,0.31622,0.13793,0.14186,0.06535,1.85112,2.43621,1.72286,0.0011882,0.0011882,0.0011882
43,562.763,1.77614,2.13371,1.60814,0.18062,0.16092,0.12157,0.0675,1.81089,2.50268,1.69137,0.0011684,0.0011684,0.0011684
44,575.86,1.73745,2.15539,1.61654,0.25859,0.14368,0.10399,0.04989,1.81012,2.49779,1.7268,0.0011486,0.0011486,0.0011486
45,588.978,1.77431,2.11067,1.60905,0.25058,0.17241,0.1259,0.05495,1.87857,2.45088,1.75331,0.0011288,0.0011288,0.0011288
46,601.883,1.77141,2.0552,1.59951,0.22398,0.16092,0.11606,0.05289,1.81319,2.52567,1.72303,0.001109,0.001109,0.001109
47,614.914,1.76296,2.09993,1.61247,0.20962,0.10345,0.08697,0.03681,1.86315,2.76787,1.76789,0.0010892,0.0010892,0.0010892
48,627.873,1.7436,2.04642,1.59017,0.32747,0.15517,0.15085,0.07171,1.88227,2.3726,1.81895,0.0010694,0.0010694,0.0010694
49,641.114,1.73724,2.03845,1.59799,0.31933,0.14943,0.11798,0.05739,1.87921,2.65354,1.73694,0.0010496,0.0010496,0.0010496
50,654.128,1.73779,2.04456,1.57916,0.02462,0.02874,0.01148,0.00604,2.12023,4.84162,1.9056,0.0010298,0.0010298,0.0010298
51,667.048,1.77646,2.04036,1.57597,0.42244,0.12644,0.14506,0.07429,1.79197,2.39331,1.76123,0.00101,0.00101,0.00101
52,680.111,1.72138,2.07481,1.56512,0.24036,0.13094,0.09701,0.05145,1.84021,2.49482,1.71002,0.0009902,0.0009902,0.0009902
53,692.984,1.7101,2.01915,1.587,0.29196,0.18966,0.13914,0.07005,1.80602,2.39941,1.74238,0.0009704,0.0009704,0.0009704
54,706.251,1.73679,2.01531,1.58059,0.22966,0.14368,0.09463,0.04727,1.8178,2.62025,1.74159,0.0009506,0.0009506,0.0009506
55,719.388,1.69933,1.93061,1.57098,0.27586,0.18391,0.13377,0.06496,1.85784,2.44124,1.84047,0.0009308,0.0009308,0.0009308
56,732.603,1.70685,1.94168,1.56884,0.43244,0.1664,0.17074,0.08212,1.85,2.44068,1.77105,0.000911,0.000911,0.000911
