epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9398,1.79661,2.8299,1.68436,0.09647,0.03152,0.01836,0.00889,2.61102,3.28846,2.00958,0.000660767,0.000660767,0.000660767
2,21.4366,1.8621,2.60306,1.75124,0.10283,0.03503,0.01996,0.00866,2.44927,3.14551,1.86718,0.00132086,0.00132086,0.00132086
3,29.7126,1.88362,2.53629,1.7296,0.06224,0.04729,0.01649,0.0067,2.47751,4.07942,2.04481,0.00197436,0.00197436,0.00197436
4,37.974,1.91335,2.53104,1.7699,0.12111,0.05079,0.02078,0.00674,2.45622,5.32888,2.02753,0.0019703,0.0019703,0.0019703
5,46.2902,1.86652,2.46591,1.75985,0.08008,0.08406,0.02972,0.01256,2.37973,3.55372,2.01139,0.0019604,0.0019604,0.0019604
6,54.5645,1.85489,2.41196,1.73329,0.09424,0.05954,0.02505,0.01102,2.34246,3.23887,1.93868,0.0019505,0.0019505,0.0019505
7,62.7459,1.73127,2.35308,1.68671,0.11927,0.08231,0.04122,0.01806,2.28041,3.02911,1.84581,0.0019406,0.0019406,0.0019406
8,70.8925,1.76603,2.27931,1.65575,0.10615,0.03678,0.02386,0.01212,2.36871,3.12534,1.91263,0.0019307,0.0019307,0.0019307
9,79.1068,1.70512,2.2629,1.64184,0.12583,0.05079,0.0369,0.01846,2.30972,3.01024,1.81654,0.0019208,0.0019208,0.0019208
10,87.3334,1.69796,2.18835,1.61106,0.13281,0.0751,0.03518,0.01618,2.17521,3.08459,1.79686,0.0019109,0.0019109,0.0019109
11,95.562,1.69641,2.26486,1.64238,0.15953,0.0683,0.04038,0.0166,2.28459,2.9096,1.86217,0.001901,0.001901,0.001901
12,103.857,1.64289,2.12491,1.60568,0.13475,0.07881,0.03504,0.0158,2.16909,3.07586,1.79652,0.0018911,0.0018911,0.0018911
13,112.104,1.69766,2.16384,1.58689,0.15939,0.07706,0.04136,0.01894,2.17798,3.11261,1.74219,0.0018812,0.0018812,0.0018812
14,120.302,1.63821,2.10435,1.5698,0.12188,0.12084,0.05478,0.02419,2.24292,2.79697,1.77067,0.0018713,0.0018713,0.0018713
15,128.519,1.6397,2.125,1.59372,0.20672,0.0718,0.04718,0.02297,2.15391,2.84166,1.75988,0.0018614,0.0018614,0.0018614
16,136.705,1.59617,2.11919,1.55057,0.23702,0.07706,0.04835,0.02132,2.17354,2.76788,1.73009,0.0018515,0.0018515,0.0018515
17,144.84,1.60146,2.02944,1.56279,0.16746,0.07356,0.04655,0.02361,2.14638,2.74999,1.72245,0.0018416,0.0018416,0.0018416
18,152.967,1.56832,2.05192,1.55215,0.12828,0.0683,0.04143,0.02103,2.16061,2.88114,1.73526,0.0018317,0.0018317,0.0018317
19,161.216,1.59797,2.05532,1.54277,0.12941,0.08757,0.04364,0.02142,2.1214,3.08022,1.69481,0.0018218,0.0018218,0.0018218
20,169.504,1.54177,2.00167,1.53661,0.12801,0.09457,0.05184,0.02578,2.02111,2.69305,1.66106,0.0018119,0.0018119,0.0018119
